dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc_clean.csv,56,RandomOverSampler,GradientBoostingClassifier,0.907,RandomOverSampler,BalancedBaggingClassifier,0.912,-0.005,3.0,94.64,False,True,True,RandomOverSampler,GradientBoostingClassifier,0.907,-0.005,3.0,94.64,False,True,True,0.167,-0.003,-0.005,-0.007,0.918,0.915,0.91,0.905,0.913,0.906
balance-scale.csv,56,TomekLinks,AdaBoostClassifier,0.755,EditedNearestNeighbours,GradientBoostingClassifier,0.763,-0.008,2.0,95.83,False,True,True,TomekLinks,AdaBoostClassifier,0.755,-0.008,2.0,95.83,False,True,True,0.1651,-0.096,-0.091,0.012,0.71,0.614,0.741,0.65,0.852,0.864
autoUniv-au7-500.csv,56,SMOTETomek,GradientBoostingClassifier,0.373,SMOTE,BaggingClassifier,0.432,-0.059,19.0,64.81,False,False,False,SMOTE,GradientBoostingClassifier,0.39,-0.042,13.0,75.93,False,False,False,0.1878,-0.07,-0.06,-0.052,0.447,0.377,0.425,0.365,0.488,0.436
anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.987,SMOTETomek,GradientBoostingClassifier,0.987,0.0,2.0,96.43,False,True,True,SMOTETomek,GradientBoostingClassifier,0.987,0.0,2.0,96.43,False,True,True,0.1762,0.0,0.0,0.0,0.98,0.98,0.977,0.977,0.997,0.997
analcatdata_halloffame_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.75,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.75,0.0,1.0,98.18,True,True,True,0.1763,0.0,0.0,0.0,0.729,0.729,0.643,0.643,0.927,0.927
analcatdata_authorship.csv,56,ADASYN,RandomForestClassifier,0.992,ADASYN,RandomForestClassifier,0.992,0.0,3.0,94.64,False,True,True,ADASYN,RandomForestClassifier,0.992,0.0,3.0,94.64,False,True,True,0.1684,0.0,0.0,0.0,0.995,0.995,0.99,0.99,0.993,0.993
air-quality-and-pollution-assessment_subset.csv,56,ADASYN,BalancedRandomForestClassifier,0.915,RandomOverSampler,GradientBoostingClassifier,0.929,-0.014,9.0,83.93,False,False,False,SMOTE,BalancedRandomForestClassifier,0.917,-0.012,7.0,87.5,False,False,False,0.1611,-0.023,-0.011,-0.009,0.928,0.905,0.92,0.909,0.945,0.936
agriculture_dataset_karnataka_clean_subset.csv,48,RandomOverSampler,RandomForestClassifier,0.957,RandomOverSampler,RandomForestClassifier,0.957,0.0,1.0,97.92,True,True,True,RandomOverSampler,RandomForestClassifier,0.957,0.0,1.0,97.92,True,True,True,0.1806,0.0,0.0,0.0,0.967,0.967,0.957,0.957,0.964,0.964
TESTFORDESCRIPTION-anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.986,SMOTETomek,GradientBoostingClassifier,0.986,0.0,2.0,96.36,False,True,True,SMOTETomek,GradientBoostingClassifier,0.986,0.0,2.0,96.36,False,True,True,0.1648,0.0,0.0,0.0,0.977,0.977,0.976,0.976,0.996,0.996
Success-Rates-2_clean_subset.csv,32,SMOTETomek,GradientBoostingClassifier,,RandomOverSampler,GradientBoostingClassifier,0.921,,,,False,False,False,NO_RECOMMENDATION,NO_RECOMMENDATION,,,,,False,False,False,0.1741,,,,0.848,,0.85,,0.985,
