dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc,problem_type,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
satimage.csv,56,RandomOverSampler,GradientBoostingClassifier,0.885,ADASYN,BalancedRandomForestClassifier,0.902,-0.017,17.0,69.64,False,False,False,0.0509,,,,,,,,,,multiclass,-0.02,-0.017,-0.014,0.895,0.875,0.893,0.876,0.923,0.909
optdigits.csv,48,SMOTE,RandomForestClassifier,0.973,SMOTETomek,RandomForestClassifier,0.973,0.0,3.0,93.75,False,True,True,0.0384,,,,,,,,,,multiclass,0.0,0.0,0.0,0.974,0.974,0.97,0.97,0.975,0.975
mfeat-morphological.csv,56,SMOTE,GradientBoostingClassifier,0.711,TomekLinks,BalancedRandomForestClassifier,0.737,-0.026,19.0,65.45,False,False,False,0.0448,,,,,,,,,,multiclass,-0.032,-0.026,-0.022,0.728,0.696,0.71,0.684,0.769,0.747
maternal_health_risk.csv,56,ADASYN,BalancedRandomForestClassifier,0.784,ADASYN,BalancedRandomForestClassifier,0.784,0.0,1.0,98.18,True,True,True,0.0503,,,,,,,,,,multiclass,0.0,0.0,0.0,0.792,0.792,0.781,0.781,0.845,0.845
led7.csv,56,RandomOverSampler,GradientBoostingClassifier,0.725,SMOTETomek,GradientBoostingClassifier,0.728,-0.003,15.0,73.21,False,False,False,0.0307,,,,,,,,,,multiclass,-0.006,0.002,-0.004,0.729,0.723,0.737,0.739,0.742,0.738
jungle_chess_2pcs_endgame_lion_elephant.csv,56,SMOTETomek,RandomForestClassifier,0.994,RandomOverSampler,GradientBoostingClassifier,0.997,-0.003,14.0,74.07,False,False,False,0.0303,,,,,,,,,,multiclass,-0.004,-0.003,-0.002,0.997,0.993,0.997,0.994,0.998,0.996
hepatitis_c_virus_hcv_for_egyptian_patients.csv,56,SMOTE,GradientBoostingClassifier,0.332,ADASYN,GradientBoostingClassifier,0.337,-0.005,6.0,88.89,False,False,False,0.033,,,,,,,,,,multiclass,-0.021,0.0,-0.001,0.236,0.215,0.238,0.238,0.408,0.407
eucalyptus.csv,56,SMOTETomek,RUSBoostClassifier,0.494,ADASYN,BalancedRandomForestClassifier,0.578,-0.084,30.0,44.44,False,False,False,0.0344,,,,,,,,,,multiclass,-0.077,-0.057,-0.091,0.61,0.533,0.536,0.479,0.638,0.547
cmc.csv,56,ADASYN,GradientBoostingClassifier,0.498,SMOTE,GradientBoostingClassifier,0.506,-0.008,12.0,77.78,False,False,False,0.0675,,,,,,,,,,multiclass,-0.012,-0.01,-0.007,0.477,0.465,0.468,0.458,0.63,0.623
autoUniv-au6-1000.csv,56,SMOTE,BaggingClassifier,0.167,RandomOverSampler,GradientBoostingClassifier,0.208,-0.041,33.0,38.89,False,False,False,0.037,,,,,,,,,,multiclass,-0.038,-0.03,-0.065,0.188,0.15,0.187,0.157,0.263,0.198
abalone.csv,56,ADASYN,BalancedRandomForestClassifier,0.612,SMOTETomek,BalancedRandomForestClassifier,0.632,-0.02,20.0,63.64,False,False,False,0.0291,,,,,,,,,,multiclass,-0.031,-0.014,-0.017,0.623,0.592,0.636,0.622,0.728,0.711
Student_Performance_on_an_Entrance_Examination.csv,56,RandomOverSampler,RandomForestClassifier,0.49,SMOTETomek,GradientBoostingClassifier,0.51,-0.02,6.0,88.89,False,False,False,0.0354,,,,,,,,,,multiclass,-0.034,-0.011,-0.017,0.54,0.506,0.486,0.475,0.587,0.57
Multiclass_Classification_for_Corporate_Credit_Ratings.csv,56,SMOTE,GradientBoostingClassifier,0.707,RandomOverSampler,RandomForestClassifier,0.74,-0.033,7.0,87.04,False,False,False,0.0497,,,,,,,,,,multiclass,-0.05,-0.004,-0.036,0.763,0.713,0.734,0.73,0.749,0.713
Mobile_Price.csv,56,RandomOverSampler,GradientBoostingClassifier,0.85,SMOTE,GradientBoostingClassifier,0.86,-0.01,3.0,94.64,False,True,True,0.0356,,,,,,,,,,multiclass,-0.011,-0.014,-0.007,0.856,0.845,0.848,0.834,0.898,0.891
JapaneseVowels.csv,56,ADASYN,BalancedRandomForestClassifier,0.963,SMOTE,BalancedRandomForestClassifier,0.964,-0.001,4.0,92.73,False,False,True,0.0289,,,,,,,,,,multiclass,-0.002,-0.001,0.0,0.965,0.963,0.961,0.96,0.967,0.967
GesturePhaseSegmentationProcessed.csv,48,SMOTE,RandomForestClassifier,0.618,ADASYN,RandomForestClassifier,0.622,-0.004,5.0,89.36,False,False,True,0.029,,,,,,,,,,multiclass,0.001,-0.013,-0.002,0.613,0.614,0.635,0.622,0.679,0.677
